u,i,ts,label,idx,original_date
40,4118,1552265105.0,3,329,2019-03-11 00:45:05
63,4165,1552265129.0,3,330,2019-03-11 00:45:29
87,4118,1552265147.0,3,331,2019-03-11 00:45:47
99,4118,1552265147.0,3,332,2019-03-11 00:45:47
46,4125,1552265160.0,1,333,2019-03-11 00:46:00
96,4118,1552265176.0,3,334,2019-03-11 00:46:16
59,4118,1552265176.0,3,335,2019-03-11 00:46:16
70,4118,1552265188.0,3,336,2019-03-11 00:46:28
50,4127,1552265191.0,1,337,2019-03-11 00:46:31
53,4166,1552265207.0,3,338,2019-03-11 00:46:47
67,4167,1552265208.0,3,339,2019-03-11 00:46:48
42,4168,1552265209.0,0,340,2019-03-11 00:46:49
100,4118,1552265235.0,3,341,2019-03-11 00:47:15
101,4118,1552265265.0,3,342,2019-03-11 00:47:45
102,4118,1552265280.0,3,343,2019-03-11 00:48:00
50,4131,1552265290.0,1,344,2019-03-11 00:48:10
56,4125,1552265310.0,1,345,2019-03-11 00:48:30
67,4143,1552265312.0,3,346,2019-03-11 00:48:32
27,4118,1552265326.0,3,347,2019-03-11 00:48:46
96,4118,1552265326.0,3,348,2019-03-11 00:48:46
40,4118,1552265327.0,3,349,2019-03-11 00:48:47
101,4118,1552265330.0,3,350,2019-03-11 00:48:50
103,4118,1552265336.0,3,351,2019-03-11 00:48:56
97,4118,1552265338.0,3,352,2019-03-11 00:48:58
104,4118,1552265340.0,3,353,2019-03-11 00:49:00
13,4118,1552265347.0,3,354,2019-03-11 00:49:07
42,4169,1552265349.0,0,355,2019-03-11 00:49:09
96,4118,1552265351.0,3,356,2019-03-11 00:49:11
44,4118,1552265352.0,3,357,2019-03-11 00:49:12
61,4118,1552265358.0,3,358,2019-03-11 00:49:18
50,4139,1552265360.0,1,359,2019-03-11 00:49:20
17,4118,1552265362.0,3,360,2019-03-11 00:49:22
18,4118,1552265373.0,3,361,2019-03-11 00:49:33
7,4118,1552265376.0,3,362,2019-03-11 00:49:36
105,4118,1552265387.0,3,363,2019-03-11 00:49:47
90,4118,1552265389.0,3,364,2019-03-11 00:49:49
16,4118,1552265399.0,3,365,2019-03-11 00:49:59
106,4118,1552265402.0,3,366,2019-03-11 00:50:02
11,4118,1552265406.0,3,367,2019-03-11 00:50:06
40,4118,1552265410.0,3,368,2019-03-11 00:50:10
14,4118,1552265434.0,3,369,2019-03-11 00:50:34
107,4170,1552265435.0,3,370,2019-03-11 00:50:35
20,4118,1552265437.0,3,371,2019-03-11 00:50:37
108,4118,1552265440.0,3,372,2019-03-11 00:50:40
109,4171,1552265443.0,3,373,2019-03-11 00:50:43
110,4118,1552265455.0,3,374,2019-03-11 00:50:55
46,4125,1552265463.0,1,375,2019-03-11 00:51:03
111,4118,1552265465.0,3,376,2019-03-11 00:51:05
42,4172,1552265488.0,0,377,2019-03-11 00:51:28
50,4127,1552265493.0,1,378,2019-03-11 00:51:33
112,4171,1552265520.0,3,379,2019-03-11 00:52:00
113,4118,1552265528.0,3,380,2019-03-11 00:52:08
53,4173,1552265531.0,3,381,2019-03-11 00:52:11
66,4136,1552265535.0,3,382,2019-03-11 00:52:15
67,4159,1552265535.0,3,383,2019-03-11 00:52:15
37,4118,1552265568.0,3,384,2019-03-11 00:52:48
52,4174,1552265572.0,3,385,2019-03-11 00:52:52
114,4175,1552265577.0,3,386,2019-03-11 00:52:57
50,4131,1552265592.0,1,387,2019-03-11 00:53:12
56,4125,1552265612.0,1,388,2019-03-11 00:53:32
11,4118,1552265614.0,3,389,2019-03-11 00:53:34
42,4176,1552265628.0,0,390,2019-03-11 00:53:48
108,4118,1552265629.0,3,391,2019-03-11 00:53:49
11,4118,1552265630.0,3,392,2019-03-11 00:53:50
115,4118,1552265630.0,3,393,2019-03-11 00:53:50
116,4118,1552265630.0,3,394,2019-03-11 00:53:50
97,4118,1552265631.0,3,395,2019-03-11 00:53:51
13,4118,1552265632.0,3,396,2019-03-11 00:53:52
96,4118,1552265637.0,3,397,2019-03-11 00:53:57
27,4118,1552265637.0,3,398,2019-03-11 00:53:57
40,4118,1552265643.0,3,399,2019-03-11 00:54:03
20,4118,1552265644.0,3,400,2019-03-11 00:54:04
49,4118,1552265647.0,3,401,2019-03-11 00:54:07
14,4118,1552265648.0,3,402,2019-03-11 00:54:08
96,4118,1552265650.0,3,403,2019-03-11 00:54:10
50,4139,1552265661.0,1,404,2019-03-11 00:54:21
18,4118,1552265666.0,3,405,2019-03-11 00:54:26
99,4118,1552265687.0,3,406,2019-03-11 00:54:47
117,4118,1552265698.0,3,407,2019-03-11 00:54:58
53,4177,1552265702.0,3,408,2019-03-11 00:55:02
16,4118,1552265706.0,3,409,2019-03-11 00:55:06
53,4178,1552265712.0,3,410,2019-03-11 00:55:12
35,4118,1552265733.0,3,411,2019-03-11 00:55:33
50,4179,1552265737.0,1,412,2019-03-11 00:55:37
87,4118,1552265748.0,3,413,2019-03-11 00:55:48
46,4125,1552265764.0,1,414,2019-03-11 00:56:04
42,4180,1552265770.0,0,415,2019-03-11 00:56:10
50,4127,1552265794.0,1,416,2019-03-11 00:56:34
67,4167,1552265810.0,3,417,2019-03-11 00:56:50
41,4121,1552265881.0,3,418,2019-03-11 00:58:01
118,4118,1552265883.0,3,419,2019-03-11 00:58:03
50,4131,1552265893.0,1,420,2019-03-11 00:58:13
42,4181,1552265907.0,0,421,2019-03-11 00:58:27
56,4125,1552265915.0,1,422,2019-03-11 00:58:35
97,4118,1552265916.0,3,423,2019-03-11 00:58:36
109,4171,1552265918.0,3,424,2019-03-11 00:58:38
73,4118,1552265930.0,3,425,2019-03-11 00:58:50
65,4118,1552265937.0,3,426,2019-03-11 00:58:57
38,4118,1552265938.0,3,427,2019-03-11 00:58:58
96,4118,1552265944.0,3,428,2019-03-11 00:59:04
12,4118,1552265945.0,3,429,2019-03-11 00:59:05
96,4118,1552265946.0,3,430,2019-03-11 00:59:06
67,4143,1552265947.0,3,431,2019-03-11 00:59:07
27,4118,1552265947.0,3,432,2019-03-11 00:59:07
39,4182,1552265952.0,3,433,2019-03-11 00:59:12
59,4118,1552265952.0,3,434,2019-03-11 00:59:12
5,4118,1552265955.0,3,435,2019-03-11 00:59:15
11,4118,1552265960.0,3,436,2019-03-11 00:59:20
13,4118,1552265960.0,3,437,2019-03-11 00:59:20
50,4139,1552265962.0,1,438,2019-03-11 00:59:22
20,4118,1552265964.0,3,439,2019-03-11 00:59:24
119,4118,1552265983.0,3,440,2019-03-11 00:59:43
18,4118,1552265986.0,3,441,2019-03-11 00:59:46
1,4118,1552265989.0,3,442,2019-03-11 00:59:49
76,4183,1552266010.0,0,443,2019-03-11 01:00:10
120,4171,1552266021.0,3,444,2019-03-11 01:00:21
121,4118,1552266027.0,3,445,2019-03-11 01:00:27
99,4118,1552266028.0,3,446,2019-03-11 01:00:28
63,4184,1552266044.0,3,447,2019-03-11 01:00:44
122,4118,1552266055.0,3,448,2019-03-11 01:00:55
70,4118,1552266060.0,3,449,2019-03-11 01:01:00
46,4125,1552266066.0,1,450,2019-03-11 01:01:06
43,4123,1552266076.0,3,451,2019-03-11 01:01:16
123,4118,1552266087.0,3,452,2019-03-11 01:01:27
124,4171,1552266111.0,3,453,2019-03-11 01:01:51
80,4185,1552266120.0,0,454,2019-03-11 01:02:00
52,4159,1552266123.0,3,455,2019-03-11 01:02:03
74,4140,1552266126.0,3,456,2019-03-11 01:02:06
67,4159,1552266135.0,3,457,2019-03-11 01:02:15
66,4136,1552266136.0,3,458,2019-03-11 01:02:16
42,4186,1552266181.0,0,459,2019-03-11 01:03:01
125,4187,1552266190.0,3,460,2019-03-11 01:03:10
23,4118,1552266205.0,3,461,2019-03-11 01:03:25
76,4188,1552266210.0,0,462,2019-03-11 01:03:30
56,4125,1552266218.0,1,463,2019-03-11 01:03:38
97,4118,1552266225.0,3,464,2019-03-11 01:03:45
109,4171,1552266230.0,3,465,2019-03-11 01:03:50
23,4118,1552266235.0,3,466,2019-03-11 01:03:55
122,4118,1552266236.0,3,467,2019-03-11 01:03:56
65,4118,1552266238.0,3,468,2019-03-11 01:03:58
126,4118,1552266239.0,3,469,2019-03-11 01:03:59
52,4159,1552266240.0,3,470,2019-03-11 01:04:00
96,4118,1552266240.0,3,471,2019-03-11 01:04:00
127,4118,1552266242.0,3,472,2019-03-11 01:04:02
52,4174,1552266243.0,3,473,2019-03-11 01:04:03
1,4118,1552266244.0,3,474,2019-03-11 01:04:04
93,4118,1552266249.0,3,475,2019-03-11 01:04:09
38,4118,1552266249.0,3,476,2019-03-11 01:04:09
14,4118,1552266250.0,3,477,2019-03-11 01:04:10
5,4118,1552266252.0,3,478,2019-03-11 01:04:12
41,4121,1552266252.0,3,479,2019-03-11 01:04:12
